% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:48
% Dimension:          1
% Nodes:              674
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Displacement field, Z-component
-0.2166241053065612       -5.572175444137363
-0.21304976072303297      -6.143540351189716
-0.21304974692835046      -6.143542531512241
-0.20947437520620169      -6.708669526684388
-0.20947434918759342      -6.70867359250071
-0.20589795955833468      -7.267521861954971
-0.20589792200527723      -7.267527662390681
-0.2023205069697715       -7.8200749926740105
-0.20232047029258193      -7.8200805916190435
-0.19874201744053235      -8.366328918634075
-0.19874199025400255      -8.366333006256847
-0.1945805706894231       -8.992042708506874
-0.19458056902583937      -8.992042954332351
-0.19041754636261513      -9.607227747089286
-0.19041753887423432      -9.607228834286047
-0.18625294446014545      -10.211884033908689
-0.1862528997773058       -10.21189040578526
-0.18208677471891158      -10.806021554971739
-0.18208669147087714      -10.806033211872249
-0.1779190265300922       -11.389588833018417
-0.1779189427238684       -11.389600351168275
-0.17374969989356917      -11.962585866716395
-0.17374965641800622      -11.962591771153946
-0.1720999437535085       -12.186148532214922
-0.17089752201569575      -12.348361425599204
-0.1704499976153591       -12.40860189827221
-0.16983592007237602      -12.49088891896044
-0.1687998413734152       -12.629415940003064
-0.16804470406281374      -12.729921809425862
-0.16714948321638265      -12.848806527365635
-0.16592104875953673      -13.01119629566115
-0.1654989268724837       -13.066871943429224
-0.16519127771391934      -13.107262598474756
-0.1638041196062466       -13.28850786517389
-0.16195790831621631      -13.529057772138545
-0.16086028531720792      -13.671483576618234
-0.1600796367981005       -13.772133617308674
-0.1580106976633039       -14.037129941775905
-0.15520289676836987      -14.394440907267947
-0.15516060124731984      -14.399787432585839
-0.15510113039872833      -14.40725593178477
-0.15230986981071912      -14.756242276962933
-0.15032448214463556      -15.002832152534163
-0.14945862692242023      -15.1096397901081
-0.148241087327593        -15.258824489363965
-0.14660680137897036      -15.458167560158092
-0.1457887120642631       -15.556982621396598
-0.14325315572604513      -15.86240710783494
-0.14235313963623547      -15.969078787127813
-0.13989863019219886      -16.259180013570877
-0.13891663409740682      -16.373344437206768
-0.13673889556391483      -16.624114064967102
-0.13392042282194808      -16.94709681068704
-0.13365951066408613      -16.97652677470914
-0.13324043144913653      -17.02356443621554
-0.13057921212254048      -17.318426051565098
-0.1289221437624305       -17.5011080654714
